iter	MAPE
0	0.228724343
1	0.2284490729
2	0.2281762424
3	0.2279030793
4	0.2276299637
5	0.2273579888
6	0.2270870594
7	0.2268151161
8	0.2265462778
9	0.226277091
10	0.2260083954
11	0.2257398898
12	0.225469705
13	0.225201738
14	0.2249351651
15	0.2246664695
16	0.2244006887
17	0.2241347337
18	0.2238699985
19	0.2236031246
20	0.2233390707
21	0.2230749058
22	0.2228095686
23	0.2225458948
24	0.2222837577
25	0.2220198305
26	0.221758232
27	0.2214970929
28	0.2212345598
29	0.2209740544
30	0.220712852
31	0.220452109
32	0.2201939165
33	0.2199339973
34	0.2196756464
35	0.219418246
36	0.21916102
37	0.2189044275
38	0.2186465044
39	0.2183906882
40	0.218134381
41	0.2178778678
42	0.2176238734
43	0.2173701643
44	0.2171153462
45	0.216862334
46	0.2166100982
47	0.2163566424
48	0.2161053096
49	0.2158528994
50	0.2156009962
51	0.2153493624
52	0.2150983305
53	0.2148491204
54	0.2145994193
55	0.2143499716
56	0.2141009199
57	0.2138539119
58	0.2136072841
59	0.2133612266
60	0.2131156602
61	0.2128704265
62	0.2126247175
63	0.2123808145
64	0.2121358976
65	0.2118913451
66	0.2116485194
67	0.2114064224
68	0.2111636441
69	0.2109226244
70	0.2106806066
71	0.2104402205
72	0.2101992324
73	0.2099589573
74	0.2097190464
75	0.2094810683
76	0.2092437081
77	0.2090057617
78	0.2087691618
79	0.2085326253
80	0.2082972928
81	0.2080610891
82	0.2078265803
83	0.2075914696
84	0.2073568659
85	0.2071227374
86	0.2068891475
87	0.2066541794
88	0.2064229341
89	0.2061910393
90	0.2059597782
91	0.2057298954
92	0.2054975412
93	0.2052674207
94	0.2050359061
95	0.2048071005
96	0.2045775345
97	0.2043498537
98	0.2041233135
99	0.2038964565
100	0.2036693143
101	0.203443487
102	0.2032189904
103	0.2029954127
104	0.2027668764
105	0.2025442492
106	0.2023208615
107	0.2020956045
108	0.2018701099
109	0.2016452806
110	0.2014198652
111	0.201199044
112	0.2009796485
113	0.2007567361
114	0.2005333485
115	0.2003112757
116	0.2000890604
117	0.1998724214
118	0.1996529626
119	0.1994322206
120	0.1992128093
121	0.1989979763
122	0.1987815274
123	0.1985654588
124	0.1983487564
125	0.1981316581
126	0.1979201044
127	0.197704907
128	0.197488379
129	0.1972758114
130	0.1970616279
131	0.1968464306
132	0.1966323897
133	0.1964189825
134	0.1962052109
135	0.1959950672
136	0.1957839888
137	0.195575049
138	0.1953639072
139	0.1951533357
140	0.1949429543
141	0.19473628
142	0.1945279264
143	0.1943196995
144	0.1941110449
145	0.1939040854
146	0.1936976803
147	0.1934924634
148	0.1932860267
149	0.1930820613
150	0.1928796484
151	0.1926767761
152	0.1924751554
153	0.1922710315
154	0.1920680959
155	0.1918647483
156	0.1916650761
157	0.1914636138
158	0.1912626108
159	0.1910618931
160	0.1908617298
161	0.1906622001
162	0.1904621952
163	0.190262729
164	0.1900644192
165	0.1898665371
166	0.1896692095
167	0.1894722146
168	0.1892779286
169	0.1890812981
170	0.1888877409
171	0.1886919816
172	0.1884974581
173	0.1883058019
174	0.1881117694
175	0.1879182756
176	0.1877229441
177	0.1875305275
178	0.1873408991
179	0.1871494013
180	0.1869555906
181	0.1867683861
182	0.1865784091
183	0.1863884956
184	0.1861990414
185	0.1860135795
186	0.1858250125
187	0.1856393287
188	0.1854516014
189	0.1852667731
190	0.1850799329
191	0.1848937422
192	0.1847080109
193	0.1845225648
194	0.184337784
195	0.1841553162
196	0.1839713117
197	0.1837874023
198	0.1836044116
199	0.1834190447
200	0.1832402364
201	0.1830586557
202	0.182875776
203	0.1826904883
204	0.1825055808
205	0.1823241269
206	0.182142467
207	0.181963722
208	0.1817853097
209	0.1816066281
210	0.1814267901
211	0.1812510551
212	0.1810716606
213	0.1808937236
214	0.1807183054
215	0.1805425863
216	0.1803644116
217	0.1801898806
218	0.1800130684
219	0.1798369215
220	0.1796628816
221	0.1794915031
222	0.179318794
223	0.1791470353
224	0.1789745162
225	0.1788000169
226	0.1786291296
227	0.1784561352
228	0.1782852162
229	0.1781162616
230	0.1779464039
231	0.1777750097
232	0.177605659
233	0.1774357222
234	0.1772659121
235	0.1770967356
236	0.1769282246
237	0.1767645295
238	0.176598173
239	0.1764306441
240	0.1762651905
241	0.1760991825
242	0.1759335072
243	0.1757665487
244	0.1756003981
245	0.1754373366
246	0.1752730395
247	0.1751079345
248	0.1749448889
249	0.1747821919
250	0.1746188453
251	0.1744556255
252	0.1742935938
253	0.1741325285
254	0.173972081
255	0.1738113959
256	0.1736519464
257	0.1734915465
258	0.1733321287
259	0.1731719664
260	0.1730139269
261	0.1728549368
262	0.1727020301
263	0.1725423906
264	0.1723847946
265	0.1722271353
266	0.1720709177
267	0.1719143515
268	0.1717592269
269	0.1716025498
270	0.1714485341
271	0.1712960551
272	0.1711458257
273	0.1709929665
274	0.1708415015
275	0.1706894502
276	0.1705363851
277	0.1703892765
278	0.1702435938
279	0.170092192
280	0.1699409963
281	0.1697913055
282	0.1696410761
283	0.1694912268
284	0.1693405063
285	0.1691906888
286	0.1690425188
287	0.1688950618
288	0.1687487136
289	0.1686028883
290	0.1684564609
291	0.1683158001
292	0.168169547
293	0.1680234206
294	0.1678778329
295	0.1677327997
296	0.1675899685
297	0.1674450144
298	0.167301201
299	0.1671595262
300	0.1670174713
301	0.1668769372
302	0.1667402051
303	0.1665975165
304	0.1664534337
305	0.1663112203
306	0.166168801
307	0.1660310868
308	0.1658911229
309	0.1657572266
310	0.1656164707
311	0.1654738296
312	0.1653407253
313	0.165201617
314	0.1650643463
315	0.1649265687
316	0.1647875395
317	0.1646500787
318	0.1645189072
319	0.164378785
320	0.1642423064
321	0.1641076971
322	0.1639726285
323	0.1638353103
324	0.1637017149
325	0.1635662027
326	0.1634291855
327	0.1632956694
328	0.1631611393
329	0.163026641
330	0.1628895604
331	0.1627573909
332	0.1626240807
333	0.1624918002
334	0.1623590128
335	0.1622234847
336	0.1620924716
337	0.161961807
338	0.1618270077
339	0.1616902756
340	0.1615603398
341	0.1614256197
342	0.1612919451
343	0.1611597439
344	0.161030806
345	0.1609015514
346	0.1607695086
347	0.160641648
348	0.1605087339
349	0.1603770396
350	0.1602455354
351	0.1601122885
352	0.1599828121
353	0.1598564248
354	0.1597275504
355	0.159602478
356	0.1594748393
357	0.1593488164
358	0.1592174548
359	0.1590875506
360	0.1589602445
361	0.1588353939
362	0.1587086582
363	0.1585845205
364	0.1584547747
365	0.158333552
366	0.1582129153
367	0.1580902034
368	0.1579619151
369	0.1578336269
370	0.1577063208
371	0.157583197
372	0.1574558909
373	0.157331373
374	0.1572088987
375	0.1570848561
376	0.1569587698
377	0.1568337133
378	0.15670853
379	0.1565873231
380	0.1564692687
381	0.1563516579
382	0.1562277737
383	0.1561059014
384	0.1559890035
385	0.1558658639
386	0.1557494887
387	0.1556340325
388	0.1555136335
389	0.1553958009
390	0.1552781584
391	0.1551566188
392	0.1550402595
393	0.1549267993
394	0.1548057983
395	0.1546838152
396	0.1545703391
397	0.1544489421
398	0.1543309669
399	0.1542184414
400	0.1541034128
401	0.153984202
402	0.1538674308
403	0.1537582321
404	0.1536495879
405	0.1535337197
406	0.1534175188
407	0.1533075914
408	0.1531935609
409	0.1530756808
410	0.152966086
411	0.1528510891
412	0.1527335576
413	0.1526194637
414	0.1525039757
415	0.1523974068
416	0.1522871308
417	0.1521746686
418	0.1520679254
419	0.1519528335
420	0.151843318
421	0.1517283369
422	0.1516225601
423	0.151510494
424	0.1514045587
425	0.1512948689
426	0.1511895039
427	0.1510819528
428	0.1509714075
429	0.1508642683
430	0.1507574617
431	0.1506542354
432	0.1505456704
433	0.1504379291
434	0.1503321523
435	0.1502250289
436	0.1501230066
437	0.150012588
438	0.1499111836
439	0.1498065949
440	0.1497055706
441	0.1495999839
442	0.1494947298
443	0.1493897768
444	0.149280182
445	0.1491804726
446	0.1490809534
447	0.1489746696
448	0.1488697482
449	0.1487643832
450	0.1486595569
451	0.1485544771
452	0.1484535004
453	0.1483459492
454	0.1482413922
455	0.1481373105
456	0.1480409121
457	0.1479385413
458	0.1478413824
459	0.1477338155
460	0.1476385102
461	0.1475357908
462	0.1474377924
463	0.1473433584
464	0.1472385796
465	0.1471385851
466	0.147043755
467	0.1469474358
468	0.1468521464
469	0.14675795
470	0.1466542643
471	0.1465536678
472	0.1464593288
473	0.1463625661
474	0.1462628409
475	0.1461633533
476	0.1460635013
477	0.1459645999
478	0.1458711956
479	0.145772817
480	0.1456800781
481	0.145581446
482	0.1454863308
483	0.145394178
484	0.1452967341
485	0.1452050407
486	0.1451120484
487	0.1450153014
488	0.1449241467
489	0.14483239
490	0.1447410769
491	0.1446466588
492	0.1445510525
493	0.1444557788
494	0.1443607745
495	0.1442739922
496	0.1441792889
497	0.1440896075
498	0.1439954428
499	0.1438955275
500	0.1438020124
501	0.1437130914
502	0.143619798
503	0.1435266947
504	0.1434394847
505	0.1433527024
506	0.1432605813
507	0.1431672087
508	0.143079064
509	0.1429874974
510	0.1428980061
511	0.1428068039
512	0.1427108332
513	0.1426192666
514	0.1425238821
515	0.1424324264
516	0.1423457866
517	0.142255028
518	0.1421689269
519	0.1420854872
520	0.1419965345
521	0.1419113523
522	0.1418274056
523	0.1417438709
524	0.1416546806
525	0.1415703697
526	0.1414842685
527	0.1413961238
528	0.1413084227
529	0.1412221314
530	0.1411399591
531	0.141058468
532	0.1409666004
533	0.1408822895
534	0.1407952695
535	0.1407054614
536	0.1406188375
537	0.140532768
538	0.1404466036
539	0.140366459
540	0.1402812292
541	0.1401960469
542	0.1401134627
543	0.140030831
544	0.1399471537
545	0.1398647755
546	0.1397831418
547	0.1397028705
548	0.1396250072
549	0.1395416626
550	0.1394641954
551	0.1393824508
552	0.1392976804
553	0.1392176468
554	0.1391372963
555	0.1390611598
556	0.1389851183
557	0.1389105977
558	0.1388346354
559	0.1387532869
560	0.1386733166
561	0.1385937266
562	0.1385190633
563	0.138441501
564	0.1383648576
565	0.1382852992
566	0.1382111113
567	0.1381330262
568	0.1380567788
569	0.1379834938
570	0.1379055196
571	0.1378306346
572	0.1377550367
573	0.1376799616
574	0.1376030172
575	0.1375263737
576	0.1374497303
577	0.1373752413
578	0.1373009425
579	0.1372278318
580	0.1371539131
581	0.1370785845
582	0.1370080244
583	0.1369332978
584	0.1368586821
585	0.1367845259
586	0.1367103854
587	0.136638352
588	0.1365668413
589	0.1364929227
590	0.1364219665
591	0.1363488716
592	0.1362757926
593	0.1362032047
594	0.1361303158
595	0.1360579655
596	0.1359856944
597	0.135914659
598	0.1358440197
599	0.1357733962
600	0.1357021548
601	0.1356309452
602	0.1355622227
603	0.1354915834
604	0.135421546
605	0.1353522849
606	0.1352749919
607	0.135206412
608	0.1351371192
609	0.1350610936
610	0.1349935276
611	0.1349180406
612	0.1348428071
613	0.1347743381
614	0.1347047918
615	0.1346302237
616	0.1345612002
617	0.1344870281
618	0.134413157
619	0.1343395393
620	0.1342711971
621	0.134195219
622	0.1341196844
623	0.1340513422
624	0.1339853921
625	0.133912313
626	0.1338402638
627	0.1337654738
628	0.1336933136
629	0.133618587
630	0.1335568192
631	0.1334838194
632	0.1334099958
633	0.1333371544
634	0.1332638695
635	0.1332003273
636	0.1331303216
637	0.1330587951
638	0.132986334
639	0.132914855
640	0.1328552258
641	0.1327841904
642	0.132719468
643	0.1326521
644	0.1325886292
645	0.1325219424
646	0.1324534496
647	0.1323905253
648	0.1323209157
649	0.1322516467
650	0.132182544
651	0.132113069
652	0.1320439743
653	0.1319760043
654	0.1319080818
655	0.1318405871
656	0.1317798332
657	0.131712481
658	0.1316453427
659	0.1315779431
660	0.1315152326
661	0.1314528469
662	0.1313908256
663	0.1313298657
664	0.1312680503
665	0.1312018784
666	0.1311405066
667	0.1310759664
668	0.1310115451
669	0.1309467356
670	0.1308821162
671	0.1308179958
672	0.130753812
673	0.1306918145
674	0.130627401
675	0.130566354
676	0.1305056713
677	0.1304424777
678	0.1303798227
679	0.1303202806
680	0.1302602158
681	0.1301966736
682	0.1301400544
683	0.1300805441
684	0.1300202812
685	0.1299584738
686	0.129896896
687	0.1298342965
688	0.1297748257
689	0.1297139133
690	0.1296559079
691	0.1295983224
692	0.1295384476
693	0.1294812106
694	0.1294216369
695	0.1293560511
696	0.1292994319
697	0.1292332362
698	0.1291683633
699	0.1291027459
700	0.1290467921
701	0.1289855945
702	0.1289300367
703	0.1288678253
704	0.1288096298
705	0.1287540324
706	0.1286888189
707	0.128625855
708	0.1285709864
709	0.1285064066
710	0.1284457397
711	0.1283888116
712	0.1283266081
713	0.1282699493
714	0.128206423
715	0.1281483622
716	0.1280923133
717	0.1280308781
718	0.1279773481
719	0.1279236517
720	0.1278707474
721	0.1278130193
722	0.1277600279
723	0.1277001928
724	0.1276454192
725	0.1275844196
726	0.1275318718
727	0.1274794349
728	0.1274253346
729	0.1273687708
730	0.1273078267
731	0.1272494887
732	0.1271932259
733	0.1271342146
734	0.1270792429
735	0.1270263149
736	0.1269686897
737	0.1269113656
738	0.1268544691
739	0.126799648
740	0.1267444783
741	0.1266893403
742	0.1266403807
743	0.1265851635
744	0.1265287107
745	0.1264793788
746	0.1264233932
747	0.1263682473
748	0.1263127133
749	0.1262583595
750	0.126202873
751	0.1261530658
752	0.1261043438
753	0.1260501247
754	0.1259965551
755	0.1259477697
756	0.1258948575
757	0.1258426028
758	0.125788146
759	0.1257364537
760	0.1256882703
761	0.1256343284
762	0.1255829766
763	0.1255317358
764	0.1254799405
765	0.1254280897
766	0.1253764765
767	0.1253234376
768	0.1252737413
769	0.1252244411
770	0.1251724953
771	0.1251235357
772	0.1250726434
773	0.1250224243
774	0.1249755558
775	0.1249245764
776	0.1248744603
777	0.1248261264
778	0.1247756381
779	0.1247281042
780	0.1246777426
781	0.1246299315
782	0.1245823977
783	0.1245375095
784	0.1244917183
785	0.1244431309
786	0.1243962308
787	0.1243511524
788	0.1243058919
789	0.1242592849
790	0.1242124481
791	0.1241670608
792	0.1241206993
793	0.1240768725
794	0.1240325942
795	0.1239884347
796	0.1239399028
797	0.1238958463
798	0.1238511719
799	0.1238063866
800	0.1237611341
801	0.1237170538
802	0.1236750013
803	0.123631721
804	0.1235904447
805	0.1235451209
806	0.1235019911
807	0.123458893
808	0.1234181871
809	0.1233755563
810	0.1233331473
811	0.1232908493
812	0.1232490898
813	0.1232046214
814	0.1231619828
815	0.1231195025
816	0.1230767371
817	0.1230337103
818	0.1229921727
819	0.1229521875
820	0.1229086696
821	0.1228685815
822	0.1228258557
823	0.1227849438
824	0.1227426299
825	0.1226998012
826	0.1226596338
827	0.1226178506
828	0.1225768912
829	0.1225337931
830	0.1224910198
831	0.1224496485
832	0.1224080237
833	0.1223691158
834	0.1223279505
835	0.1222864366
836	0.122245699
837	0.1222066485
838	0.1221659346
839	0.1221249911
840	0.1220856871
841	0.122047405
842	0.1220073961
843	0.1219684249
844	0.1219294536
845	0.1218892942
846	0.1218497051
847	0.1218110824
848	0.1217725785
849	0.1217333379
850	0.1216941924
851	0.12165534
852	0.121616646
853	0.1215780232
854	0.1215413491
855	0.1215045957
856	0.1214676839
857	0.1214310018
858	0.1213943435
859	0.1213546831
860	0.121316702
861	0.1212790615
862	0.1212417378
863	0.1212052854
864	0.1211665597
865	0.1211299014
866	0.1210904628
867	0.1210526797
868	0.1210173838
869	0.1209816443
870	0.1209429344
871	0.1209072266
872	0.1208720733
873	0.1208371101
874	0.120802028
875	0.1207659638
876	0.1207302797
877	0.1206945482
878	0.1206586186
879	0.1206241306
880	0.1205885574
881	0.1205527308
882	0.1205166824
883	0.1204809429
884	0.1204437064
885	0.1204069609
886	0.1203716729
887	0.1203377236
888	0.120302895
889	0.120266102
890	0.1202308457
891	0.1201972687
892	0.1201623846
893	0.1201286729
894	0.1200942879
895	0.1200611386
896	0.1200283774
897	0.1199953548
898	0.119961849
899	0.1199274957
900	0.1198941959
901	0.1198603812
902	0.119826115
903	0.119792538
904	0.1197596817
905	0.1197264453
906	0.1196934702
907	0.1196605506
908	0.119626229
909	0.1195935311
910	0.1195587501
911	0.1195259572
912	0.1194913979
913	0.1194570763
914	0.1194245211
915	0.1193924015
916	0.119358262
917	0.1193243998
918	0.119292502
919	0.1192582516
920	0.1192260924
921	0.1191930778
922	0.1191612592
923	0.1191323793
924	0.1191009646
925	0.1190697876
926	0.1190386978
927	0.1190061742
928	0.1189743952
929	0.1189424578
930	0.1189112887
931	0.1188814979
932	0.1188509942
933	0.1188205776
934	0.1187889015
935	0.1187581602
936	0.1187260406
937	0.1186960359
938	0.1186622054
939	0.118632272
940	0.1186018079
