iter	Passed	Remaining
0	121	363382
1	235	353274
2	355	355101
3	470	352057
4	584	350373
5	698	348486
6	812	347403
7	927	346779
8	1045	347381
9	1161	347390
10	1264	343709
11	1363	339398
12	1480	340185
13	1597	340657
14	1694	337132
15	1809	337540
16	1909	335082
17	2022	335120
18	2142	336081
19	2257	336345
20	2354	334046
21	2471	334611
22	2586	334836
23	2705	335458
24	2801	333406
25	2916	333616
26	3038	334623
27	3157	335164
28	3277	335756
29	3396	336222
30	3516	336812
31	3636	337295
32	3755	337652
33	3851	335997
34	3946	334316
35	4040	332682
36	4135	331196
37	4230	329744
38	4343	329794
39	4458	329950
40	4574	330140
41	4687	330145
42	4803	330320
43	4900	329249
44	5019	329597
45	5117	328640
46	5234	328909
47	5329	327783
48	5424	326660
49	5519	325624
50	5614	324656
51	5731	324914
52	5845	325010
53	5942	324183
54	6037	323279
55	6132	322409
56	6228	321566
57	6324	320819
58	6419	320007
59	6515	319251
60	6611	318547
61	6707	317839
62	6804	317236
63	6902	316630
64	7000	316108
65	7101	315698
66	7200	315198
67	7298	314681
68	7416	315030
69	7511	314426
70	7609	313917
71	7710	313557
72	7805	312972
73	7900	312377
74	7995	311824
75	8091	311309
76	8186	310750
77	8280	310187
78	8374	309658
79	8471	309194
80	8567	308739
81	8662	308259
82	8757	307776
83	8854	307376
84	8948	306889
85	9043	306435
86	9138	305967
87	9253	306223
88	9348	305766
89	9443	305337
90	9540	304984
91	9635	304555
92	9753	304883
93	9854	304662
94	9974	305022
95	10073	304711
96	10189	304948
97	10284	304552
98	10384	304286
99	10479	303899
100	10575	303540
101	10671	303183
102	10767	302857
103	10863	302507
104	10977	302660
105	11072	302307
106	11168	301957
107	11283	302151
108	11398	302318
109	11514	302527
110	11628	302655
111	11724	302315
112	11821	302010
113	11935	302154
114	12050	302314
115	12147	302009
116	12246	301770
117	12342	301451
118	12442	301227
119	12557	301373
120	12655	301116
121	12751	300812
122	12847	300503
123	12944	300218
124	13042	299985
125	13161	300201
126	13258	299936
127	13357	299711
128	13456	299491
129	13552	299197
130	13667	299336
131	13766	299098
132	13880	299220
133	13996	299354
134	14095	299133
135	14190	298839
136	14285	298533
137	14383	298292
138	14499	298432
139	14615	298563
140	14730	298676
141	14827	298421
142	14921	298107
143	15035	298211
144	15149	298293
145	15244	298005
146	15340	297726
147	15435	297452
148	15534	297236
149	15632	297016
150	15728	296761
151	15828	296571
152	15924	296322
153	16038	296398
154	16132	296113
155	16246	296180
156	16342	295932
157	16437	295660
158	16534	295438
159	16652	295584
160	16754	295439
161	16851	295216
162	16966	295308
163	17084	295443
164	17206	295631
165	17305	295447
166	17421	295542
167	17516	295281
168	17612	295032
169	17733	295218
170	17834	295049
171	17954	295213
172	18069	295274
